    106.7957       8.0981       8.0981      21.8359 
    103.5998      -0.9660      -0.9660      24.0456 
     99.5970       7.4545       7.4545      -3.2275 
     98.7267      -0.5782      -0.5782       5.8283 
     99.1016      -0.4094      -0.4094      -0.0762 
     98.6422      -0.4375      -0.4375      -0.0935 
     98.9555      -0.5726      -0.5726      -0.3524 
     98.0271      -0.7159      -0.7159      -0.5393 
    102.8475      -3.7452      -3.7452      25.2221 
    102.6419      -7.3957      -7.3957      24.0370 
     95.3910      -1.8182      -1.8182       0.6120 
     92.9752      -6.4789      -6.4789      -8.0844 
    120.2671       3.0071       3.0071      -0.7467 
     95.8418       1.6961       1.6961      -2.6310 
     99.4004       0.1313       0.1313      -0.3773 
     95.4475       0.5919       0.5919      -1.4406 
