    107.5607      21.0709       0.0000 
    103.6116      24.0339       0.0000 
    100.1346      -3.7651       0.0000 
     98.7303       5.8247       0.0000 
     99.1033      -0.0779       0.0000 
     98.6442      -0.0954       0.0000 
     98.9588      -0.3557       0.0000 
     98.0323      -0.5445       0.0000 
    103.0278      25.0419       0.0000 
    103.3317      23.3472       0.0000 
     95.4258       0.5771       0.0000 
     93.3888      -8.4981       0.0000 
    120.3417      -0.8214       0.0000 
     95.8710      -2.6602       0.0000 
     99.4006      -0.3775       0.0000 
     95.4511      -1.4442       0.0000 
